Name,Pro Bowl,Career Receptions,Career Yards,Career Touchdowns,Career Games,Adj. Rec. S.,Adj. Yards.S.,Adj.TDS.S,Adj.Rec.G,Adj.Yards.G,Adj.TDS.G,Height (m),Weight (lb),40 Yard Dash,Broad Jump,Vertical Jump,Arm Length,Hand Size,Receptions,Yards,Touchdowns,More Then 3 years in college,Big School,Small School,Major Injury,Off Field Issues
Kenny Golladay,1,163,2730,19,42,54.33333333,910,6.333333333,3.880952381,65,0.452380952,1.93,218,4.5,120,35.5,32,9.75,160,2285,18,0,0,0,0,0
Chad Williams,0,20,202,1,17,6.666666667,67.33333333,0.333333333,1.176470588,11.88235294,0.058823529,1.85,207,4.43,123,35.5,32,9.75,210,3062,28,1,0,1,0,1
Amara Darboh,0,8,71,0,16,2.666666667,23.66666667,0,0.5,4.4375,0,1.88,214,4.45,124,36,32.625,9.875,151,2062,14,1,1,0,1,0
Dede Westbrook,0,159,1716,9,38,53,572,3,4.184210526,45.15789474,0.236842105,1.83,178,4.34,120,34.5,30.625,9,126,2267,21,0,1,0,0,1
Josh Reynolds,0,61,832,7,48,20.33333333,277.3333333,2.333333333,1.270833333,17.33333333,0.145833333,1.9,194,4.52,,37,31.5,9.375,164,2788,30,0,0,0,0,1
Mack Hollins,0,26,351,1,32,8.666666667,117,0.333333333,0.8125,10.96875,0.03125,1.93,221,4.53,,,33.25,9.75,81,1667,20,1,0,0,1,0
Josh Malone,0,7,75,1,22,2.333333333,25,0.333333333,0.318181818,3.409090909,0.045454545,1.9,208,4.4,121,30.5,31.375,9.625,104,1608,14,0,0,0,0,0
Ryan Switzer,0,50,321,1,41,16.66666667,107,0.333333333,1.219512195,7.829268293,0.024390244,1.73,181,4.51,116,32,28,9.25,243,2903,19,1,0,0,0,0
Jehu Chesson,0,3,25,0,24,1,8.333333333,0,0.125,1.041666667,0,1.91,204,4.47,132,35.5,33.25,9.125,114,1639,12,1,1,0,0,0
Chad Hansen,0,9,94,0,15,3,31.33333333,0,0.6,6.266666667,0,1.85,202,4.53,119,35,32.125,10.125,111,1498,12,0,0,0,0,0
Shelton Gibson,0,3,59,0,20,1,19.66666667,0,0.15,2.95,0,1.8,191,4.5,118,32,32,8.875,84,1898,17,0,0,0,0,0
Rodney Adams,0,0,0,0,1,0,0,0,0,0,0,1.85,189,4.44,125,29.5,32,9,136,1976,16,1,0,0,0,0
Isaiah McKenzie,0,49,462,1,34,16.33333333,154,0.333333333,1.441176471,13.58823529,0.029411765,1.73,173,4.42,123,36,28.875,8.875,60,823,7,0,1,0,0,0
DeAngelo Yancey,0,0,0,0,0,0,0,0,0,0,0,1.88,220,4.53,121,35.5,32.875,9.75,141,2344,20,1,0,0,0,0
Trent Taylor,0,69,645,3,29,23,215,1,2.379310345,22.24137931,0.103448276,1.75,181,4.63,117,33,28.75,8.25,327,4179,32,1,0,0,0,0
Robert Davis,0,2,17,0,7,0.666666667,5.666666667,0,0.285714286,2.428571429,0,1.91,219,4.44,136,41,33,9.625,222,3391,17,1,0,0,0,0
Stacy Coley,0,0,0,0,2,0,0,0,0,0,0,1.85,195,4.45,122,34,32.25,9.75,166,2218,20,1,0,0,0,1
David Moore,0,43,746,7,31,14.33333333,248.6666667,2.333333333,1.387096774,24.06451613,0.225806452,1.83,219,4.43,124,36.5,30.625,9.5,157,2775,35,1,0,1,0,0
Isaiah Ford,0,23,244,0,9,7.666666667,81.33333333,0,2.555555556,27.11111111,0,1.88,194,4.61,127,35.5,32.625,9.25,210,2967,24,0,0,0,0,0
Noah Brown,0,9,87,0,21,3,29,0,0.428571429,4.142857143,0,1.88,222,4.56,,,31.75,9.125,33,411,7,0,1,0,1,0
Malachi Dupree,0,0,0,0,1,0,0,0,0,0,0,1.88,196,4.52,135,39.5,31.5,9,98,1609,14,0,1,0,0,0
Corey Coleman,0,61,789,5,27,15.25,197.25,1.25,2.259259259,29.22222222,0.185185185,1.8,194,4.37,129,40.5,30.25,9,173,3009,33,0,0,0,0,1
Will Fuller,0,156,2231,16,42,39,557.75,4,3.714285714,53.11904762,0.380952381,1.83,186,4.32,126,33.5,30.75,8.25,144,2512,30,0,1,0,0,0
Josh Doctson,0,81,1100,8,34,20.25,275,2,2.382352941,32.35294118,0.235294118,1.88,202,4.5,131,41,31.875,9.875,214,3177,34,1,0,0,1,0
Laquon Treadwell,0,65,701,2,53,16.25,175.25,0.5,1.226415094,13.22641509,0.037735849,1.88,221,4.63,117,33,33.375,9.5,202,2393,21,0,0,0,1,0
Sterling Shepard,0,247,2862,17,53,61.75,715.5,4.25,4.660377358,54,0.320754717,1.78,194,4.48,123,41,30.375,9.75,233,3482,26,1,1,0,0,0
Michael Thomas,1,470,5512,32,63,117.5,1378,8,7.46031746,87.49206349,0.507936508,1.91,212,4.57,126,35,32.125,10.5,113,1602,18,0,1,0,0,0
Tyler Boyd,0,242,2902,15,56,60.5,725.5,3.75,4.321428571,51.82142857,0.267857143,1.88,197,4.58,119,34,32,9.75,254,3361,21,0,0,0,0,0
Braxton Miller,0,34,261,2,21,8.5,65.25,0.5,1.619047619,12.42857143,0.095238095,1.85,201,4.5,123,35,31.75,9.125,25,340,3,1,1,0,1,0
Leonte Carroo,0,12,192,2,37,3,48,0.5,0.324324324,5.189189189,0.054054054,1.83,211,4.5,120,35.5,31.375,9.625,122,2373,29,1,0,0,0,1
Chris Moore,0,47,511,4,58,11.75,127.75,1,0.810344828,8.810344828,0.068965517,1.85,206,4.53,130,37,33.375,9.375,119,2301,26,1,0,0,0,0
Malcolm Mitchell,0,32,401,4,14,8,100.25,1,2.285714286,28.64285714,0.285714286,1.85,198,4.45,129,36,32.625,10.5,174,2350,16,1,1,0,1,0
Ricardo Louis,0,45,562,0,32,11.25,140.5,0,1.40625,17.5625,0,1.88,215,4.43,132,38,32.375,9.5,98,1338,8,1,1,0,0,0
Demarcus Robinson,0,75,949,8,64,18.75,237.25,2,1.171875,14.828125,0.125,1.85,203,4.59,123,34.5,33,9.5,105,1353,9,0,0,0,0,1
Tajae Sharpe,0,92,1167,8,47,23,291.75,2,1.957446809,24.82978723,0.170212766,1.88,194,4.55,114,33.5,32.25,8.375,277,3486,16,1,0,0,0,0
Jordan Payton,0,0,0,0,4,0,0,0,0,0,0,1.85,207,4.47,,34.5,32.5,10.125,201,2701,14,1,0,0,0,0
Trevor Davis,0,16,205,1,43,4,51.25,0.25,0.372093023,4.76744186,0.023255814,1.85,188,4.42,124,38.5,31,10,109,1672,12,1,0,0,0,0
Tyreek Hill,1,281,4115,32,59,70.25,1028.75,8,4.762711864,69.74576271,0.542372881,1.78,185,4.29,129,40.5,30.5,8,31,281,1,0,0,0,0,1
Rashard Higgins,0,76,1016,7,54,19,254,1.75,1.407407407,18.81481481,0.12962963,1.85,196,4.64,116,32,32.25,9.75,238,3648,31,0,0,0,0,0
Moritz Bohringer,0,0,0,0,0,0,0,0,0,0,0,1.93,227,4.49,131,39,32.625,9.5,,,,,,1,0,0
Keenan Reynolds,0,0,0,0,2,0,0,0,0,0,0,1.8,190,4.57,120,37,30.25,8.625,1,47,0,1,0,0,0,0
Jakeem Grant,0,53,635,4,52,13.25,158.75,1,1.019230769,12.21153846,0.076923077,1.68,165,4.37,117,36.5,29.75,8.625,254,3286,27,1,0,0,0,0
Kolby Listenbee,0,0,0,0,0,0,0,0,0,0,0,1.85,197,4.39,129,35.5,31.325,8.25,74,1432,9,1,0,0,1,0
Cody Core,0,33,388,1,51,8.25,97,0.25,0.647058824,7.607843137,0.019607843,1.91,205,4.47,119,31.5,32,10.25,83,1297,10,1,0,0,0,0
Mike Thomas,0,10,144,0,40,2.5,36,0,0.25,3.6,0,1.85,205,4.47,119,31.5,32,10.375,112,1983,19,0,0,0,0,0
Aaron Burbridge,0,7,88,0,16,1.75,22,0,0.4375,5.5,0,1.83,206,4.56,115,30.5,31.625,8.25,165,2174,10,1,0,0,0,0
Devin Lucien,0,0,0,0,0,0,0,0,0,0,0,1.88,201,4.49,117,34.5,31.875,10.125,124,1074,12,1,0,0,1,0
Demarcus Ayers,0,6,53,1,2,1.5,13.25,0.25,3,26.5,0.5,1.8,182,4.72,120,33,31.25,9.25,141,1686,9,0,0,0,0,0
Daniel Braverman,0,0,0,0,3,0,0,0,0,0,0,1.78,175,4.53,112,28.5,28.75,9.125,212,2499,19,0,0,0,0,0
Devin Fuller,0,0,0,0,0,0,0,0,0,0,0,1.83,194,4.39,124,36,30.5,9.5,146,1322,10,1,0,0,0,0
